,ImageID,Synapse Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
43,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,84.0,88.0,AB7917,AB7917,F,cko,42
44,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,34.0,90.0,AB7917,AB7917,F,cko,42
45,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,45.0,92.0,AB7917,AB7917,F,cko,42
46,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,21.0,94.0,AB7917,AB7917,F,cko,42
47,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,20.0,96.0,AB7917,AB7917,F,cko,42
48,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,1.0,98.0,AB7917,AB7917,F,cko,42
0,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,2.0,AB7917,AB7917,F,cko,42
1,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,4.0,AB7917,AB7917,F,cko,42
2,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,6.0,AB7917,AB7917,F,cko,42
3,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,26.0,8.0,AB7917,AB7917,F,cko,42
4,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,92.0,10.0,AB7917,AB7917,F,cko,42
5,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,192.0,12.0,AB7917,AB7917,F,cko,42
6,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,204.0,14.0,AB7917,AB7917,F,cko,42
7,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,191.0,16.0,AB7917,AB7917,F,cko,42
8,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,176.0,18.0,AB7917,AB7917,F,cko,42
9,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,173.0,20.0,AB7917,AB7917,F,cko,42
10,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,131.0,22.0,AB7917,AB7917,F,cko,42
11,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,140.0,24.0,AB7917,AB7917,F,cko,42
12,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,138.0,26.0,AB7917,AB7917,F,cko,42
13,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,128.0,28.0,AB7917,AB7917,F,cko,42
14,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,131.0,30.0,AB7917,AB7917,F,cko,42
15,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,138.0,32.0,AB7917,AB7917,F,cko,42
16,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,125.0,34.0,AB7917,AB7917,F,cko,42
17,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,137.0,36.0,AB7917,AB7917,F,cko,42
18,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,134.0,38.0,AB7917,AB7917,F,cko,42
19,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,119.0,40.0,AB7917,AB7917,F,cko,42
20,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,119.0,42.0,AB7917,AB7917,F,cko,42
21,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,128.0,44.0,AB7917,AB7917,F,cko,42
22,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,125.0,46.0,AB7917,AB7917,F,cko,42
23,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,130.0,48.0,AB7917,AB7917,F,cko,42
24,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,156.0,50.0,AB7917,AB7917,F,cko,42
25,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,155.0,52.0,AB7917,AB7917,F,cko,42
26,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,151.0,54.0,AB7917,AB7917,F,cko,42
27,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,145.0,56.0,AB7917,AB7917,F,cko,42
28,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,190.0,58.0,AB7917,AB7917,F,cko,42
29,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,198.0,60.0,AB7917,AB7917,F,cko,42
30,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,233.0,62.0,AB7917,AB7917,F,cko,42
31,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,205.0,64.0,AB7917,AB7917,F,cko,42
32,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,224.0,66.0,AB7917,AB7917,F,cko,42
33,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,194.0,68.0,AB7917,AB7917,F,cko,42
34,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,211.0,70.0,AB7917,AB7917,F,cko,42
35,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,162.0,72.0,AB7917,AB7917,F,cko,42
36,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,140.0,74.0,AB7917,AB7917,F,cko,42
37,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,125.0,76.0,AB7917,AB7917,F,cko,42
38,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,120.0,78.0,AB7917,AB7917,F,cko,42
39,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,121.0,80.0,AB7917,AB7917,F,cko,42
40,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,126.0,82.0,AB7917,AB7917,F,cko,42
41,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,115.0,84.0,AB7917,AB7917,F,cko,42
42,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,125.0,86.0,AB7917,AB7917,F,cko,42
43,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,135.0,88.0,AB7917,AB7917,F,cko,42
44,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,125.0,90.0,AB7917,AB7917,F,cko,42
45,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,75.0,92.0,AB7917,AB7917,F,cko,42
46,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,51.0,94.0,AB7917,AB7917,F,cko,42
47,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,31.0,96.0,AB7917,AB7917,F,cko,42
48,AB7917_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,98.0,AB7917,AB7917,F,cko,42
0,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,2.0,AB7920,AB7920,F,ctrl,42
1,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,4.0,AB7920,AB7920,F,ctrl,42
2,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,6.0,AB7920,AB7920,F,ctrl,42
3,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,7.0,8.0,AB7920,AB7920,F,ctrl,42
4,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,41.0,10.0,AB7920,AB7920,F,ctrl,42
5,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,110.0,12.0,AB7920,AB7920,F,ctrl,42
6,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,119.0,14.0,AB7920,AB7920,F,ctrl,42
7,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,103.0,16.0,AB7920,AB7920,F,ctrl,42
8,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,89.0,18.0,AB7920,AB7920,F,ctrl,42
9,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,79.0,20.0,AB7920,AB7920,F,ctrl,42
10,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,88.0,22.0,AB7920,AB7920,F,ctrl,42
11,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,86.0,24.0,AB7920,AB7920,F,ctrl,42
12,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,77.0,26.0,AB7920,AB7920,F,ctrl,42
13,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,89.0,28.0,AB7920,AB7920,F,ctrl,42
14,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,100.0,30.0,AB7920,AB7920,F,ctrl,42
15,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,103.0,32.0,AB7920,AB7920,F,ctrl,42
16,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,86.0,34.0,AB7920,AB7920,F,ctrl,42
17,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,97.0,36.0,AB7920,AB7920,F,ctrl,42
18,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,79.0,38.0,AB7920,AB7920,F,ctrl,42
19,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,93.0,40.0,AB7920,AB7920,F,ctrl,42
20,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,79.0,42.0,AB7920,AB7920,F,ctrl,42
21,AB7920_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,81.0,44.0,AB7920,AB7920,F,ctrl,42
